Test Suite,Description,Enabled,Data File (if not specified default file will be searched according to convention),Test Case Parameters,Reason to hybrid test or desabled test
navigation,Group 3 - navigate to expoloader,1,,,
signInWithoutValidation,signin to expoloader,1,,,
projectDetailAddUser,add user project details,1,,,
projectDetailEditUser,project details edit user,1,,,
projectDetailsDelete,proect details delete user,1,,,
selectProject,select project,0,,"desabled because it depend on projectAdd. The projectAdd didn't worked, it has bug",
consignmentEdit,edit consignment,0,,desabled because it depend on optimization management features. The optimizations are not implemented yet.,
consignmentSearch,search consignment,0,,desabled because it depend on optimization management features. The optimizations are not implemented yet.,
consignmentDeleteAllRecords,delete all consignments,0,,desabled because it depend on optimization management features. The optimizations are not implemented yet.,
consignmentLoad,consignment load,0,,desabled because it depend on optimization management features. The optimizations are not implemented yet.,
expoCustomerOrderAdd,add customer order ,0,,desabled because not implemented yet,
changePassword,Change password,1,,,
signInAfterChangePSWD,sign in ,1,,,
projectDeleteAllRecords,delete all  projects,1,,,
deleteAccount,Delete the account,1,,,
